v,p_r,p_r_true,Meanp_r,LowerCI,UpperCI
0,0.002,0.002,0.002,0.0019,0.0021
1,0.002,0.002,0.00169,0.0014,0.0019
2,0.002,0.002,0.001,0.0007,0.0014
0,0.004,0.004,0.0042,0.00397,0.0044
1,0.004,0.004,0.0035,0.0031,0.0039
2,0.004,0.004,0.0025,0.0019,0.0033
0,0.006,0.006,0.00635,0.00604,0.0067
1,0.006,0.006,0.005,0.0046,0.0055
2,0.006,0.006,0.0037,0.0029,0.00495
0,0.008,0.008,0.00863,0.0082,0.00909
1,0.008,0.008,0.00685,0.0062,0.00754
2,0.008,0.008,0.00546,0.00423,0.00738
0,0.01,0.01,0.01072,0.0101,0.01128
1,0.01,0.01,0.00945,0.0085,0.0104
2,0.01,0.01,0.00605,0.00492,0.0076
0,0.015,0.015,0.0159,0.01512,0.0167
1,0.015,0.015,0.0151,0.0137,0.0168
2,0.015,0.015,0.0104,0.0083,0.0136
0,0.0185,0.0185,0.01979,0.0188,0.0208
1,0.0185,0.0185,0.01849,0.0168,0.02041
2,0.0185,0.0185,0.01299,0.01064,0.0162
0,0.02,0.02,0.02129,0.02027,0.02234
1,0.02,0.02,0.0199,0.01818,0.02196
2,0.02,0.02,0.01419,0.0115,0.0179
