v,p_r,p_r_true,Meanp_r,LowerCI,UpperCI
0,0.002,0.002,0.002,0.0019,0.0022
1,0.002,0.002,0.0017,0.0014,0.00197
2,0.002,0.002,0.001,0.0007,0.0014
0,0.004,0.004,0.0042,0.0039,0.0044
1,0.004,0.004,0.0035,0.0031,0.0039
2,0.004,0.004,0.0024,0.00191,0.0032
0,0.006,0.006,0.0063,0.006,0.0067
1,0.006,0.006,0.0051,0.0047,0.0056
2,0.006,0.006,0.0036,0.0029,0.0048
0,0.008,0.008,0.0086,0.0082,0.0091
1,0.008,0.008,0.0068,0.0062,0.0075
2,0.008,0.008,0.0054,0.0042,0.0072
0,0.01,0.01,0.0108,0.0102,0.0113
1,0.01,0.01,0.0094,0.0086,0.0104
2,0.01,0.01,0.006,0.0049,0.0075
0,0.015,0.015,0.0159,0.0151,0.0168
1,0.015,0.015,0.0151,0.0138,0.0167
2,0.015,0.015,0.0103,0.0082,0.0131
0,0.0185,0.0185,0.0198,0.0188,0.0208
1,0.0185,0.0185,0.0185,0.0168,0.0205
2,0.0185,0.0185,0.0128,0.0105,0.016
0,0.02,0.02,0.0213,0.020335,0.0224
1,0.02,0.02,0.01989,0.01817,0.0218
2,0.02,0.02,0.01411,0.0115,0.0176
