v,p_r,p_r_true,Meanp_r,LowerCI,UpperCI
0,0.002,0.002,0.0021,0.00194,0.0022
1,0.002,0.002,0.0016,0.0014,0.0018
2,0.002,0.002,0.0007,0.0006,0.0009
0,0.004,0.004,0.0042,0.0039,0.0044
1,0.004,0.004,0.0033,0.003,0.0037
2,0.004,0.004,0.002,0.0017,0.0024
0,0.006,0.006,0.0064,0.006,0.0067
1,0.006,0.006,0.0049,0.0045,0.0054
2,0.006,0.006,0.0031,0.0026,0.0038
0,0.008,0.008,0.0086,0.0082,0.0091
1,0.008,0.008,0.0066,0.006,0.0073
2,0.008,0.008,0.0045,0.0038,0.0056
0,0.01,0.01,0.0107,0.0102,0.0113
1,0.01,0.01,0.0092,0.0083,0.01
2,0.01,0.01,0.0053,0.0046,0.0063
0,0.015,0.015,0.0159,0.0151,0.0167
1,0.015,0.015,0.0147,0.0134,0.0161
2,0.015,0.015,0.009,0.0076,0.0109
0,0.0185,0.0185,0.0197,0.0188,0.0207
1,0.0185,0.0185,0.0179,0.0163,0.0197
2,0.0185,0.0185,0.0117,0.0099,0.0138
0,0.02,0.02,0.0213,0.0203,0.0223
1,0.02,0.02,0.0194,0.0177,0.0212
2,0.02,0.02,0.0125,0.0106,0.0149
