v,p_r,R0_true,MeanR0,LowerCI,UpperCI,
0,0.002,2,2.0234,2.0009,2.047,
1,0.002,2,1.9444,1.9005,1.98983,
2,0.002,2,,,,
3,0.002,2,,,,
0,0.004,2,,,,
1,0.004,2,,,,
2,0.004,2,,,,
3,0.004,3,,,,
0,0.006,2,,,,
1,0.006,2,,,,
2,0.006,2,,,,
3,0.006,3,,,,
0,0.008,2,,,,
1,0.008,2,,,,
2,0.008,2,,,,
3,0.008,3,,,,
0,0.01,2,,,,
1,0.01,2,,,,
2,0.01,2,,,,
3,0.01,2,,,,
0,0.015,2,2.0182,2.0026,2.03425,
1,0.015,2,1.9999,1.9722,2.0281,
2,0.015,2,1.9632,1.9324,1.9949,
3,0.015,2,1.9463,1.9103,1.9821,
0,0.0185,2,,,,
1,0.0185,2,,,,
2,0.0185,2,,,,
3,0.0185,3,,,,
0,0.02,2,,,,
1,0.02,2,,,,
2,0.02,2,,,,
3,0.02,2,,,,
