v,p_r,R0_true,MeanR0,LowerCI,UpperCI
0,0.002,2,2.0228,2.0002,2.0455
1,0.002,2,1.9674,1.9221,2.016
2,0.002,2,1.9245,1.8492,1.9889
0,0.004,2,2.0163,1.9966,2.037
1,0.004,2,1.9795,1.9399,2.0219
2,0.004,2,1.9645,1.9197,2.0111
0,0.006,2,2.02286,2.00483,2.0411
1,0.006,2,1.9706,1.9365,2.0056
2,0.006,2,1.9628,1.92139,2.0056
0,0.008,2,2.02038,2.00308,2.03867
1,0.008,2,1.96712,1.9355095,1.99906
2,0.008,2,1.99278,1.9519,2.03428
0,0.01,2,2.01954,2.00253,2.0372
1,0.01,2,1.99242,1.9613,2.0226
2,0.01,2,1.976,1.93941,2.0151
0,0.015,2,2.0175,2.002,2.0338
1,0.015,2,2.0071,1.979,2.0363
2,0.015,2,1.9809,1.9476,2.0159
0,0.0185,2,2.0193,2.0037,2.035
1,0.0185,2,2.0005,1.9737,2.0289
2,0.0185,2,1.98471,1.9541,2.015
0,0.02,2,2.01852,2.0038,2.03357
1,0.02,2,2.0045,1.9769,2.0325
2,0.02,2,1.9902,1.9594,2.0224
,,,,,
