v,p_r,R0_true,MeanR0,LowerCI,UpperCI
0,0.002,2,2.0254,2.0022,2.0502
1,0.002,2,1.9687,1.9217,2.0218
2,0.002,2,1.9247,1.8609,1.9873
0,0.004,2,2.0186,1.9985,2.0404
1,0.004,2,1.9774,1.9377,2.0189
2,0.004,2,1.9632,1.92002,2.0094
0,0.006,2,2.024,2.0056,2.0425
1,0.006,2,1.9716,1.9383,2.0059
2,0.006,2,1.96,1.9175,2.0038
0,0.008,2,2.0229,2.0043,2.0423
1,0.008,2,1.9687,1.9367,2.0008
2,0.008,2,1.9913,1.9491,2.0333
0,0.01,2,2.0219,2.0041,2.0404
1,0.01,2,1.9923,1.9601,2.0251
2,0.01,2,1.9758,1.9385,2.0132
0,0.015,2,2.0192,2.0027,2.0363
1,0.015,2,2.0078,1.9806,2.0358
2,0.015,2,1.9795,1.9456,2.0139
0,0.0185,2,2.0205,2.0047,2.0368
1,0.0185,2,2.001,1.9734,2.0287
2,0.0185,2,1.9831,1.9536,1.9536
0,0.02,2,2.0206,2.0049,2.0371
1,0.02,2,2.004,1.9767,2.0315
2,0.02,2,1.9899,1.9589,2.0208
