v,p_r,v_true,MeanV,LowerCI,UpperCI
0,0.002,0,0.0099,0.00001,0.0598
1,0.002,1,0.6402,0.3909,0.904
2,0.002,2,1.0026,0.45457,1.4981
0,0.004,0,0.0094,0,0.0582
1,0.004,1,0.6675,0.467,0.8779
2,0.004,2,1.2479,0.9192,1.6784
0,0.006,0,0.0067,0.00003,0.041
1,0.006,1,0.6101,0.4334,0.7875
2,0.006,2,1.2812,0.9627,1.6769
0,0.008,0,0.00981,0.00007,0.06134
1,0.008,1,0.6876,0.5161,0.8506
2,0.008,2,1.39178,1.0583,1.8296
0,0.01,0,0.0107,0,0.06632
1,0.01,1,0.7948,0.6384,0.9542
2,0.01,2,1.256,0.9857,1.5985
0,0.015,0,0.00919,0.00003,0.0564
1,0.015,1,0.9157,0.7709,1.0715
2,0.015,2,1.4415,1.1444,1.83248
0,0.0185,0,0.0077,0.00004,0.0451
1,0.0185,1,0.8944,0.7537,1.0428
2,0.0185,2,1.42663,1.165,1.7402
0,0.02,0,0.00926,0.00003,0.0576
1,0.02,1,0.8824,0.7482,1.027
2,0.02,2,1.4653,1.19492,1.80616
