v,p_r,v_true,MeanV,LowerCI,UpperCI
0,0.002,0,0.0465,0.0006,0.1519
1,0.002,1,0.6453,0.3906,0.9228
2,0.002,2,1.0055,0.5613,1.4924
0,0.004,0,0.0422,0.0006,0.1412
1,0.004,1,0.6532,0.4345,0.8641
2,0.004,2,1.2312,0.9206,1.6251
0,0.006,0,0.0298,0.0006,0.1002
1,0.006,1,0.6161,0.4425,0.7931
2,0.006,2,1.2547,0.9436,1.6384
0,0.008,0,0.0424,0.0006,0.1394
1,0.008,1,0.6966,0.5329,0.8619
2,0.008,2,1.3756,1.0434,1.7895
0,0.01,0,0.0437,0.00062,0.1426
1,0.01,1,0.7942,0.6327,0.9571
2,0.01,2,1.2511,0.981,1.5665
0,0.015,0,0.0334,0.00062,0.119
1,0.015,1,0.9193,0.7806,1.0679
2,0.015,2,1.4234,1.1343,1.777
0,0.0185,0,0.0317,0.0063,0.1088
1,0.0185,1,0.8985,0.7585,1.0447
2,0.0185,2,1.4144,1.1615,1.7301
0,0.02,0,0.0363,0.00061,0.1246
1,0.02,1,0.8794,0.7449,1.018
2,0.02,2,1.4575,1.1912,1.7778
