v,p_r,v_true,MeanV,LowerCI,UpperCI
0,0.002,0,0.0307,0.0007,0.1025
1,0.002,1,0.4761,0.1682,0.7375
2,0.002,2,0.4035,0.0173,0.8693
0,0.004,0,0.0295,0.0008,0.1019
1,0.004,1,0.5685,0.3793,0.7592
2,0.004,2,0.9669,0.6944,1.2571
0,0.006,0,0.0235,0.00072,0.0804
1,0.006,1,0.543,0.3659,0.7185
2,0.006,2,1.0319,0.7731,1.3207
0,0.008,0,0.0273,0.0008,0.0947
1,0.008,1,0.6119,0.4385,0.7828
2,0.008,2,1.1559,0.9157,1.4334
0,0.01,0,0.029,0.0007,0.0993
1,0.01,1,0.7284,0.5596,0.8862
2,0.01,2,1.0845,0.8654,1.3375
0,0.015,0,0.0291,0.0007,0.0991
1,0.015,1,0.8634,0.7231,1.0061
2,0.015,2,1.2451,1.0222,1.5125
0,0.0185,0,0.0249,0.0007,0.0851
1,0.0185,1,0.8429,0.7054,0.9863
2,0.0185,2,1.2769,1.0685,1.5214
0,0.02,0,0.0295,0.00071,0.1039
1,0.02,1,0.8343,0.7014,0.9745
2,0.02,2,1.2934,1.0755,1.5386
