Day,Ondo,Edo,Osun,Ogun,Oyo,Lagos,Kano,Kwara,Delta,Ebonyi,Enugu,Kaduna,Bayelsa,Benue,Fct,Gombe,Rivers,Bauchi,Cross River
1,1,1,1,1,1,6,2,2,1,1,1,1,2,1,5,1,1,2,2
2,1,1,1,1,1,7,3,1,1,1,2,3,1,1,2,4,1,1,1
3,1,1,3,1,1,1,4,4,1,1,1,1,4,1,1,1,1,2,4
4,1,5,1,1,3,2,5,1,1,2,1,3,1,1,1,25,1,1,1
5,2,1,1,1,1,3,10,4,1,1,1,4,1,1,1,1,1,1,1
6,1,1,1,1,2,2,2,1,2,2,1,1,4,1,1,11,3,1,4
7,1,2,10,3,1,1,7,1,1,1,1,1,4,1,3,11,1,2,4
8,2,2,3,1,1,9,10,1,5,1,1,1,2,2,1,18,2,4,2
9,3,1,1,3,3,3,11,9,2,1,2,1,2,1,2,13,9,8,2
10,1,1,6,4,2,13,20,2,1,1,1,1,1,1,7,9,1,3,1
11,4,1,5,1,3,13,14,8,4,7,3,2,1,1,7,4,2,3,1
12,1,1,2,5,1,2,5,4,4,10,4,1,2,5,6,3,1,4,2
13,1,3,1,7,8,7,27,2,1,1,3,3,2,2,1,3,4,16,2
14,1,1,2,2,3,8,9,9,1,1,4,2,3,6,11,1,4,10,3
15,1,2,1,16,1,2,14,7,1,2,6,17,4,2,4,6,7,8,4
16,1,2,1,15,2,12,24,3,2,5,1,2,6,1,7,3,8,14,6
17,1,8,4,8,1,6,35,1,2,3,4,2,20,2,2,2,1,4,20
18,1,2,1,3,2,8,47,1,2,4,3,25,9,1,3,1,7,9,9
19,1,11,2,5,1,12,49,3,2,2,7,10,48,7,1,4,6,14,48
20,2,4,2,1,10,4,63,1,3,1,8,2,10,5,4,3,2,38,10
21,5,4,1,6,7,3,20,6,4,3,1,2,3,1,3,5,2,15,3
22,3,6,1,9,2,4,40,4,6,21,1,3,5,2,2,1,6,19,5
23,1,8,1,6,1,8,55,3,2,4,1,4,23,3,5,2,10,8,23
24,1,5,1,9,5,14,39,1,10,19,26,4,11,2,5,2,4,4,11
25,2,10,6,2,2,9,26,2,12,47,6,3,14,8,1,4,1,1,14
26,3,4,5,4,3,6,56,5,5,14,6,7,3,9,4,2,6,3,3
27,9,1,7,10,3,7,18,1,6,18,22,6,6,2,4,1,8,12,6
28,3,3,2,10,33,22,68,1,6,2,11,2,5,6,4,3,13,3,5
29,4,2,12,8,9,26,13,8,7,20,17,1,9,5,3,2,7,2,9
30,4,5,18,3,21,7,11,2,7,19,7,4,2,4,13,5,14,9,2
31,1,3,2,3,7,30,16,1,9,11,21,16,4,20,7,1,19,3,4
